-248.9,148.7,60.5
-247.6,149.2,60.4
-246.1,149.5,60.4
-244.6,149.9,60.3
-243.2,150.2,60.2
-241.7,150.4,60.2
-240.2,150.5,60.2
-238.8,150.6,60.1
-237.2,150.6,60.2
-235.8,150.5,60.3
-234.5,150.3,60.4
-233.2,150,60.5
-231.9,149.7,60.7
-230.7,149.3,60.8
-229.5,148.8,61
-228.3,148.2,61.3
-227.1,147.6,61.4
-225.8,147.1,61.7
-224.5,146.4,61.9
-223.3,145.7,62.1
-222,145.2,62.2
-220.8,144.4,62.4
-219.7,143.8,62.5
-218.5,143.1,62.7
-217.5,142.5,62.9
-216.7,141.8,63
-215.9,141.1,63.2
-215.1,140.4,63.4
-214.3,139.6,63.7
-213.7,138.6,64
-213,137.6,64.3
-212.3,136.6,64.7
-211.7,135.6,64.9
-211.1,134.5,65.2
-210.5,133.6,65.5
-210.1,132.6,65.8
-209.6,131.6,66.1
-209.2,130.5,66.5
-208.8,129.5,66.8
-208.4,128.3,67.1
-208.1,127.1,67.4
-207.6,126,67.7
-207.3,124.8,68
-206.9,123.4,68.4
-206.6,122,68.7
-206.4,120.5,69.1
-206.2,119,69.4
-206.1,117.4,69.8
-206,115.8,70.2
-206.1,114.1,70.7
-206.2,112.3,71
-206.3,110.6,71.4
-206.4,108.8,71.8
-206.6,106.9,72.2
-206.9,105,72.5
-207.2,103.1,72.8
-207.5,101.1,73.1
-207.8,99.2,73.4
-208.2,97.5,73.6
-208.6,95.7,73.8
-209,94,74
-209.4,92.3,74.1
-209.8,90.8,74.3
-210.2,89.2,74.4
-210.5,87.6,74.5
-210.9,86.2,74.5
-211.2,84.8,74.5
-211.5,83.3,74.5
-211.8,82.1,74.5
-212,80.8,74.5
-212.5,79.5,74.4
-212.9,78.2,74.4
-213.3,77,74.4
-213.9,75.7,74.4
-214.5,74.5,74.3
-215.2,73.2,74.2
-215.9,72,74.2
-216.6,70.7,74.1
-217.4,69.5,74
-218.3,68.3,73.9
-219.2,67,73.8
-220.3,65.7,73.7
-221.4,64.5,73.5
-222.6,63.2,73.4
-223.9,62,73.2
-225.2,60.8,73
-226.5,59.7,72.9
-227.9,58.6,72.6
-229.4,57.5,72.4
-230.8,56.4,72.2
-232.4,55.3,71.9
-234.1,54.2,71.5
-235.9,53.1,71
-237.6,52.1,70.7
-239.4,51,70.2
-241.1,50.2,69.8
-242.8,49.5,69.4
-244.4,48.9,69.1
-246,48.4,68.7
-247.5,48.1,68.4
-248.9,47.8,68.1
-250.3,47.7,67.8
-251.5,47.7,67.7
-252.8,47.8,67.5
-254.1,47.9,67.3
-255.4,48.1,67
-256.6,48.3,66.9
-258,48.5,66.6
-259.2,48.7,66.5
-260.7,48.9,66.1
-262.1,49.2,65.8
-263.6,49.2,65.5
-265.1,49.4,65
-266.7,49.5,64.6
-268.3,49.5,64.1
-269.9,49.5,63.5
-271.6,49.5,62.8
-273.2,49.5,62.3
-275,49.5,61.5
-276.7,49.5,60.7
-278.3,49.5,60
-280,49.6,59.3
-281.6,49.8,58.6
-283,50.2,58
-284.4,50.6,57.5
-285.8,51.1,57
-287.1,51.8,56.5
-288.3,52.4,56.1
-289.5,53,55.7
-290.6,53.7,55.3
-291.8,54.4,54.8
-292.8,55.1,54.5
-293.9,55.9,54
-295,56.6,53.7
-295.9,57.6,53.4
-296.9,58.6,53
-297.9,59.5,52.7
-298.9,60.4,52.4
-299.9,61.3,52
-300.8,62.1,51.7
-301.8,62.9,51.1
-302.6,63.7,50.8
-303.5,64.4,50.3
-304.4,65.1,49.8
-305.2,65.9,49.5
-306.1,66.7,48.9
-306.9,67.6,48.6
-307.5,68.6,48.3
-308.3,69.4,47.9
-309,70.3,47.6
-309.8,71.1,47.1
-310.4,71.9,46.7
-311.1,72.6,46.3
-311.6,73.6,46
-312.1,74.5,45.7
-312.5,75.6,45.6
-312.9,76.8,45.5
-313.1,78.1,45.5
-313.5,79.3,45.3
-313.7,80.4,45.3
-314,81.5,45.2
-314.3,82.4,45.1
-314.6,83.2,44.8
-314.7,84,44.8
-314.9,84.9,44.7
-315.1,85.9,44.6
-315.2,87,44.5
-315.1,88.3,44.7
-315.2,89.7,44.6
-315.2,90.9,44.7
-315.2,92.1,44.6
-315.3,93.2,44.6
-315.3,94,44.5
-315.4,94.8,44.4
-315.5,95.4,44.3
-315.5,96.2,44.2
-315.5,96.9,44.2
-315.5,97.8,44.1
-315.4,98.8,44.1
-315.4,99.6,44.1
-315.3,100.5,44.2
-315.2,101.3,44
-315.2,102,43.9
-315,102.6,44.1
-314.7,103.4,44.2
-314.4,104.2,44.4
-314,105.1,44.7
-313.4,106.3,45
-312.8,107.6,45.3
-312.1,108.9,45.7
-311.2,110.4,46.2
-310.4,111.9,46.5
-309.4,113.4,47.1
-308.5,114.8,47.4
-307.6,115.9,47.9
-306.6,117.3,48.3
-305.6,118.7,48.7
-304.6,120.1,49
-303.6,121.5,49.3
-302.6,122.9,49.6
-301.7,124.1,49.8
-300.8,125.3,50.1
-299.8,126.3,50.4
-298.9,127.2,50.7
-298,128.1,51
-297.1,128.9,51.3
-296.1,129.7,51.7
-295.2,130.5,51.9
-294.1,131.7,52.2
-293,132.7,52.4
