-278.5,97.2,62.9
-279,98.2,62.5
-279.5,99.2,62.1
-279.9,100.3,61.7
-280,101.4,61.5
-280,102.4,61.3
-279.8,103.5,61
-279.6,104.6,60.8
-279,105.8,60.8
-278.5,106.9,60.7
-277.8,107.9,60.6
-277.1,108.8,60.7
-276.4,109.7,60.6
-275.5,110.5,60.7
-274.6,111.4,60.7
-273.5,112.1,60.8
-272.4,112.8,60.9
-271.2,113.6,61
-270,114.2,61.1
-268.6,115,61.3
-267.2,115.5,61.3
-265.8,116.2,61.5
-264.1,116.7,61.7
-262.5,117.2,61.9
-260.9,117.7,62
-259.2,118.1,62.2
-257.5,118.4,62.3
-255.8,118.7,62.4
-254.1,118.9,62.6
-252.4,119.1,62.7
-250.9,119.3,62.7
-249.5,119.5,62.7
-248.1,119.5,62.8
-246.7,119.6,62.9
-245.3,119.4,63
-244.1,119.3,63.1
-242.8,119,63.3
-241.6,118.7,63.4
-240.6,118.5,63.5
-239.6,118.1,63.6
-238.7,117.8,63.8
-237.8,117.4,63.9
-237.1,117,64
-236.4,116.5,64.2
-235.8,116.1,64.3
-235.2,115.6,64.5
-234.7,115,64.6
-234.3,114.4,64.7
-234,113.8,64.9
-233.8,113.1,65.2
-233.7,112.3,65.4
-233.8,111.4,65.6
-233.8,110.5,66
-234.1,109.4,66.3
-234.4,108.3,66.6
-234.7,107.1,67
-235.1,105.7,67.4
-235.6,104.4,67.7
-236.2,102.9,68.1
-236.8,101.4,68.5
-237.5,99.9,68.7
-238.1,98.3,69.1
-238.9,96.6,69.4
-239.8,95,69.6
-240.7,93.4,69.8
-241.5,91.9,70.1
-242.5,90.3,70.3
-243.5,88.9,70.4
-244.5,87.5,70.5
-245.5,86.1,70.6
-246.5,84.8,70.5
-247.5,83.5,70.5
-248.5,82.2,70.6
-249.6,81,70.5
-250.7,79.9,70.4
-251.7,78.8,70.4
-252.8,77.7,70.3
-253.9,76.9,70.1
-255,76.1,70
-256,75.3,69.8
-257.1,74.7,69.6
-258.2,74.1,69.4
-259.2,73.5,69.3
-260.3,73,69
-261.3,72.5,68.9
-262.4,72.1,68.7
-263.5,71.7,68.5
-264.6,71.4,68.2
-265.7,71.2,67.9
-266.7,71,67.7
-267.9,71,67.4
-268.9,71.1,67.1
-270,71.2,66.8
-271,71.4,66.6
-272,71.6,66.3
-273,71.9,66.1
-273.9,72.1,65.8
-274.9,72.4,65.6
-275.8,72.6,65.3
-276.9,72.8,64.9
-277.9,73.1,64.6
-278.9,73.5,64.3
-279.8,73.9,63.9
-280.8,74.5,63.6
-281.8,75.2,63.3
-282.7,75.8,62.9
-283.7,76.7,62.6
-284.6,77.7,62.3
-285.6,78.7,61.8
-286.5,79.8,61.4
-287.3,81,61
-288.1,82.2,60.6
-288.7,83.3,60.4
-289.4,84.5,59.9
-290,85.6,59.6
-290.4,86.7,59.3
-290.8,87.8,59.1
-291.2,88.8,58.8
-291.6,90,58.5
-291.9,91.1,58.2
-292.1,92.3,57.9
-292.3,93.4,57.7
-292.5,94.7,57.3
-292.5,95.9,57.2
-292.6,97.1,56.9
-292.6,98.4,56.7
-292.6,99.6,56.4
-292.5,100.8,56.2
-292.4,101.9,56
-292.3,103.1,55.8
-292.2,104.3,55.5
-291.9,105.4,55.4
-291.7,106.5,55.3
-291.5,107.3,55.1
-291.2,108.3,55
-290.8,109.3,54.8
-290.4,110.2,54.8
-290.1,111,54.7
-289.6,112.1,54.5
-289.1,113.1,54.5
-288.5,114.1,54.4
-287.8,115.2,54.3
-287,116.2,54.3
-286.3,117.1,54.3
-285.4,118.1,54.4
-284.6,119,54.3
-283.8,119.8,54.4
-283,120.5,54.3
-282.1,121.3,54.4
-281.4,122,54.4
-280.5,122.6,54.5
-279.8,123.1,54.6
-279,123.6,54.6
-278.3,124.2,54.6
-277.4,124.6,54.8
-276.6,124.9,54.9
-275.7,125.4,55.1
-274.8,125.8,55.1
-274,126.1,55.2
-273.1,126.4,55.4
-272.3,126.6,55.5
-271.4,126.7,55.7
-270.6,126.9,55.9
-269.7,127,56.2
